               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077076,            0.013359,            0.020801,              0.2187,             0.24026,             0.15518,            0.057275,            0.051915,             0.01062,            0.018038,            0.070088,           0.0033236,           0.0033236
                   1,            0.053037,           0.0085128,            0.011555,             0.65944,             0.46005,             0.50386,              0.2349,            0.048152,           0.0083487,           0.0075614,            0.040068,           0.0066369,           0.0066369
                   2,            0.050717,           0.0070218,           0.0055764,              0.5217,             0.33206,             0.33079,             0.13955,            0.053253,            0.010805,            0.011112,            0.010028,           0.0099303,           0.0099303
                   3,            0.047575,           0.0068047,            0.004676,             0.64071,             0.46738,             0.50495,             0.25488,            0.044747,           0.0084982,           0.0068112,             0.00991,             0.00991,             0.00991
                   4,            0.042651,           0.0062719,           0.0034407,             0.69425,             0.51258,             0.55742,             0.27474,            0.041774,           0.0074874,            0.004253,             0.00991,             0.00991,             0.00991
                   5,            0.040316,           0.0059185,           0.0029935,             0.72576,             0.51803,             0.57793,             0.30715,            0.039208,           0.0075415,           0.0044739,             0.00988,             0.00988,             0.00988
                   6,            0.039047,           0.0058041,           0.0028919,             0.74255,             0.56129,             0.61428,             0.34038,            0.037254,           0.0073221,           0.0042586,             0.00985,             0.00985,             0.00985
                   7,            0.038358,           0.0056685,           0.0027089,             0.76021,             0.58918,             0.65989,             0.36384,            0.036746,           0.0068477,           0.0033344,             0.00982,             0.00982,             0.00982
                   8,            0.037698,           0.0055618,           0.0025639,             0.79247,              0.5894,             0.68332,             0.39048,            0.034416,           0.0063223,           0.0029067,             0.00979,             0.00979,             0.00979
                   9,            0.036356,           0.0053908,           0.0024203,             0.80167,             0.56546,             0.64377,             0.36419,            0.040055,           0.0069556,           0.0036326,             0.00976,             0.00976,             0.00976
                  10,             0.03573,            0.005308,           0.0023092,              0.7964,             0.62963,             0.70022,             0.39208,            0.034844,           0.0065699,           0.0033347,             0.00973,             0.00973,             0.00973
                  11,            0.035057,           0.0052627,           0.0022964,             0.79228,             0.58375,             0.66442,             0.38559,            0.035245,           0.0069222,           0.0030999,              0.0097,              0.0097,              0.0097
                  12,            0.035158,           0.0051289,           0.0021793,             0.80798,             0.59313,             0.68582,              0.4059,            0.033994,           0.0066898,           0.0030405,             0.00967,             0.00967,             0.00967
                  13,            0.034739,           0.0051566,           0.0020429,             0.75333,             0.63071,             0.67658,             0.39695,            0.033931,           0.0066942,            0.002771,             0.00964,             0.00964,             0.00964
                  14,            0.034181,           0.0049842,           0.0019759,             0.75167,             0.62271,             0.69183,              0.4147,            0.032175,           0.0061882,           0.0033231,             0.00961,             0.00961,             0.00961
                  15,            0.033567,           0.0049753,           0.0019987,               0.816,             0.60007,             0.70535,             0.42276,             0.03181,           0.0063797,           0.0029081,             0.00958,             0.00958,             0.00958
                  16,            0.033368,             0.00487,           0.0019283,             0.81577,             0.62269,             0.70301,             0.41096,            0.033164,           0.0066145,           0.0024999,             0.00955,             0.00955,             0.00955
                  17,            0.033157,           0.0049648,           0.0019546,             0.81583,             0.65167,             0.70678,             0.41635,            0.038629,           0.0062116,           0.0025406,             0.00952,             0.00952,             0.00952
                  18,            0.032734,           0.0049086,           0.0018503,             0.84053,             0.64018,             0.71568,             0.43061,            0.033059,           0.0063194,           0.0025742,             0.00949,             0.00949,             0.00949
                  19,             0.03265,           0.0048347,           0.0018868,             0.80117,             0.65699,             0.73676,             0.44345,            0.031035,            0.006031,           0.0025894,             0.00946,             0.00946,             0.00946
                  20,            0.032551,            0.004783,           0.0018471,             0.80176,             0.65162,             0.72693,             0.43629,            0.032525,           0.0061984,             0.00263,             0.00943,             0.00943,             0.00943
                  21,            0.032509,           0.0048118,           0.0019269,             0.81613,             0.66141,             0.73191,             0.44368,            0.033412,           0.0064044,           0.0024782,              0.0094,              0.0094,              0.0094
                  22,              0.0328,           0.0048012,           0.0019351,             0.80858,              0.6626,              0.7391,             0.44466,            0.030627,           0.0061262,           0.0026022,             0.00937,             0.00937,             0.00937
                  23,            0.031708,           0.0046736,           0.0017752,              0.8408,             0.65799,             0.73813,             0.44813,            0.032516,           0.0061896,           0.0027221,             0.00934,             0.00934,             0.00934
                  24,            0.031855,           0.0047444,             0.00178,             0.82275,             0.68271,             0.73789,             0.44641,            0.036409,           0.0059282,           0.0042178,             0.00931,             0.00931,             0.00931
